Day,Price,Hour,Name,Map,link,website
8 Ağustos Cum,1000 ₺,21:00,Mabel Matiz,CerModern,https://www.bubilet.com.tr/ankara/etkinlik/-mabel-matiz--,Bubilet
16 Ağustos Cmt,1100 ₺,21:00,Melike Şahin,CerModern,https://www.bubilet.com.tr/ankara/etkinlik/melike-sahin-konseri-,Bubilet
11 Ekim Cmt,750 ₺,21:00,Hakan Altun Konseri,Oran Açıkhava Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/hakan-altun-konseri-,Bubilet
2 Ağustos Cmt,1250 ₺,17:00,Linda Presents: Daft Punk Discovery @SunsetNights,Atakule - Çim Teras,https://www.bubilet.com.tr/ankara/etkinlik/linda-presents-daft-punk-discovery-sunsetnights,Bubilet
20 Ağustos Çar,950 ₺,21:00,Buray,Oran Açıkhava Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/buray,Bubilet
4 Ekim Cmt,500 ₺,20:00,Güler Duman & Oğuz Aksaç,Yenimahalle Nazım Hikmet Kültür Merkezi-Genco Erkal Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/guler-duman-oguz-aksac,Bubilet
5 Eylül Cum,1100 ₺,21:00,An Epic Symphony & Özcan Deniz,Oran Açıkhava Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/an-epic-symphony-ozcan-deniz,Bubilet
13 Ağustos Çar,990 ₺,21:00,An Epic Symphony & Gökhan Türkmen,Oran Açıkhava Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/an-epic-symphony-gokhan-turkmen,Bubilet
24 Ağustos Paz,1000 ₺,21:00,Semicenk ''Bir Varmış Bir Yokmuş'',Oran Açıkhava Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/semicenk-bir-varmis-bir-yokmus,Bubilet
24 Eylül Çar,1400 ₺,21:00,Ajda Pekkan,Oran Açıkhava Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/ajda-pekkan,Bubilet
20 Eylül Cmt,900 ₺,21:00,Mahsun Kırmızıgül,Oran Açıkhava Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/mahsun-kirmizigul-,Bubilet
6 Eylül Cmt,880 ₺,21:00,An Epic Symphony - Hayko Cepkin,CerModern,https://www.bubilet.com.tr/ankara/etkinlik/an-epic-symphony-hayko-cepkin,Bubilet
8 Ekim Çar,750 ₺,21:00,Hadise,Oran Açıkhava Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/hadise,Bubilet
29 Ağustos Cum,850 ₺,21:00,Bagjan Oktabr - Ruh Terapisi,Oran Açıkhava Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/bagjan-oktabr-ruh-terapisi,Bubilet
15 Ağustos Cum,700 ₺,21:00,Emir Can İğrek,CerModern,https://www.bubilet.com.tr/ankara/etkinlik/emir-can-igrek-konseri,Bubilet
28 Eylül Paz,700 ₺,19:00,Kenan Doğulu Konseri,CerModern,https://www.bubilet.com.tr/ankara/etkinlik/kenan-dogulu,Bubilet
11 Ekim - 12 Ekim,1350 ₺,CerModern,Cocktail Festival Ankara,11 Ekim Cmt,https://www.bubilet.com.tr/ankara/etkinlik/cocktail-festival-ankara,Bubilet
13 Eylül Cmt,750 ₺,21:00,Bülent Ersoy,Oran Açıkhava Sahnesi,https://www.bubilet.com.tr/ankara/etkinlik/bulent-ersoy-,Bubilet
2 Ağustos Cmt,900 ₺,19:00,Çağan Şengül Sheraton Açık Hava Etkinlikleri,Garden Terrace Restaurant - Sheraton Ankara,https://www.bubilet.com.tr/ankara/etkinlik/cagan-sengul--konseri,Bubilet
